学段,学科,版本,册次,单元,文章
小学,一年级,语文,统编版,上册,我上学了,我是中国人
小学,一年级,语文,统编版,上册,我上学了,我是小学生
小学,一年级,语文,统编版,上册,我上学了,我爱学语文
小学,一年级,语文,统编版,上册,第一单元 识字,天地人
小学,一年级,语文,统编版,上册,第一单元 识字,金木水火土
小学,一年级,语文,统编版,上册,第一单元 识字,口耳目
小学,一年级,语文,统编版,上册,第一单元 识字,日月水火
小学,一年级,语文,统编版,上册,第一单元 识字,对韵歌
小学,一年级,语文,统编版,上册,第一单元 识字,口语交际：我说你做
小学,一年级,语文,统编版,上册,第一单元 识字,语文园地一
小学,一年级,语文,统编版,上册,第一单元 识字,快乐读书吧
小学,一年级,语文,统编版,上册,第一单元 识字,第一单元复习拓展课
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,a o e（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,a o e（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,i u ü y w（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,i u ü y w（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,b p m f（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,b p m f（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,d t n l（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,d t n l（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,g k h（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,g k h（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,j q x（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,j q x（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,z c s（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,z c s（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,zh ch sh r（第一课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,zh ch sh r（第二课时）
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,语文园地二
小学,一年级,语文,统编版,上册,第二单元 汉语拼音,拼音复习课（一）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ai ei ui（第一课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ai ei ui（第二课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ao ou iu（第一课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ao ou iu（第二课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ie üe er （第一课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ie üe er（第二课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,an en in un ün（第一课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,an en in un ün（第二课时）
小学,一年级,语文,统编版,上册,第三单元 汉语拼音,ang eng ing ong（第一课时）
